epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,4273.42,1.11679,0.62059,1.12899,0.86965,0.8351,0.90261,0.58862,1.2724,0.65745,1.21668,0.0003713,0.0003713,0.0003713
141,4302.39,1.03915,0.48565,1.15044,0.87546,0.85268,0.90703,0.59404,1.25989,0.65029,1.21658,0.000338,0.000338,0.000338
142,4331.7,1.0442,0.48484,1.14324,0.88043,0.8728,0.90873,0.61706,1.18293,0.63861,1.20831,0.0003047,0.0003047,0.0003047
143,4367.03,1.04527,0.47309,1.14888,0.8621,0.86914,0.87829,0.596,1.18436,0.68097,1.20431,0.0002714,0.0002714,0.0002714
144,4397.42,1.03851,0.47038,1.1424,0.87029,0.86413,0.87381,0.5822,1.23425,0.68732,1.2082,0.0002381,0.0002381,0.0002381
145,4428.01,1.03169,0.45436,1.14202,0.87366,0.86416,0.88529,0.59439,1.22361,0.66555,1.20039,0.0002048,0.0002048,0.0002048
146,4458.9,1.02818,0.44835,1.13159,0.87254,0.85214,0.88537,0.59232,1.21997,0.67079,1.1998,0.0001715,0.0001715,0.0001715
147,4489.52,1.02568,0.44898,1.13204,0.84105,0.85274,0.86858,0.58611,1.20726,0.7012,1.1963,0.0001382,0.0001382,0.0001382
148,4520.37,1.02126,0.44366,1.13715,0.83047,0.82056,0.84885,0.56816,1.22416,0.73748,1.19894,0.0001049,0.0001049,0.0001049
149,4551.06,1.0272,0.44385,1.1321,0.82173,0.82727,0.84806,0.56578,1.23094,0.7444,1.20162,7.16e-05,7.16e-05,7.16e-05
150,4581.4,1.03121,0.44609,1.14018,0.82898,0.82255,0.85122,0.57105,1.21893,0.73589,1.19934,3.83e-05,3.83e-05,3.83e-05
